Team,#,Pos.,Player,Alias,HAS_PLAYED,Club,League,CountryCode
England,22,DF,ALEXANDER-ARNOLD Trent,ALEXANDER-ARNOLD,FALSE,Liverpool FC,Premier League,ENG
England,23,GK,POPE Nick,POPE,FALSE,Burnley FC,Premier League,ENG
France,1,GK,LLORIS Hugo,LLORIS,TRUE,Tottenham Hotspur FC,Premier League,ENG
France,3,DF,KIMPEMBE Presnel,KIMPEMBE,FALSE,Paris Saint-Germain FC,Ligue 1,FRA
France,4,DF,VARANE Raphael,VARANE,TRUE,Real Madrid CF,Primera Division,ESP
France,5,DF,UMTITI Samuel,UMTITI,TRUE,FC Barcelona,Primera Division,ESP
France,6,MF,POGBA Paul,POGBA,TRUE,Manchester United FC,Premier League,ENG
France,7,FW,GRIEZMANN Antoine,GRIEZMANN,TRUE,Atletico Madrid,Primera Division,ESP
France,8,FW,LEMAR Thomas,LEMAR,FALSE,AS Monaco,Ligue 1,FRA
France,9,FW,GIROUD Olivier,GIROUD,TRUE,Chelsea FC,Premier League,ENG
France,10,FW,MBAPPE Kylian,MBAPPÉ,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
France,11,FW,DEMBELE Ousmane,DEMBELÉ,TRUE,FC Barcelona,Primera Division,ESP
France,13,MF,KANTE Ngolo,KANTÉ,TRUE,Chelsea FC,Premier League,ENG
France,14,MF,MATUIDI Blaise,MATUIDI,TRUE,Juventus FC,Serie A,ITA
France,15,MF,NZONZI Steven,N'ZONZI,TRUE,Sevilla FC,Primera Division,ESP
France,16,GK,MANDANDA Steve,MANDANDA,FALSE,Olympique Marseille,Ligue 1,FRA
France,17,DF,RAMI Adil,RAMI,FALSE,Olympique Marseille,Ligue 1,FRA
France,18,FW,FEKIR Nabil,FEKIR,FALSE,Olympique Lyon,Ligue 1,FRA
France,19,DF,SIDIBE Djibril,SIDIBÉ,FALSE,AS Monaco,Ligue 1,FRA
France,20,FW,THAUVIN Florian,THAUVIN,FALSE,Olympique Marseille,Ligue 1,FRA
France,21,DF,HERNANDEZ Lucas,LUCAS,TRUE,Atletico Madrid,Primera Division,ESP
France,22,DF,MENDY Benjamin,MENDY,FALSE,Manchester City FC,Premier League,ENG
France,23,GK,AREOLA Alphonse,AREOLA,FALSE,Paris Saint-Germain FC,Ligue 1,FRA
France,12,MF,TOLISSO Corentin,TOLISSO,TRUE,FC Bayern Munchen,Bundesliga,GER
France,2,DF,PAVARD Benjamin,PAVARD,TRUE,VfB Stuttgart,Bundesliga,GER
