Team,#,Pos.,Player,Alias,HAS_PLAYED,Club,League,CountryCode
Argentina,1,GK,GUZMAN Nahuel,GUZMAN,#N/A,Tigres UANL,Primera Division,MEX
Argentina,2,DF,MERCADO Gabriel,MERCADO,TRUE,Sevilla FC,Primera Division,ESP
Argentina,3,DF,TAGLIAFICO Nicolas,TAGLIAFICO,TRUE,AFC Ajax,Eredivisie,NED
Argentina,4,DF,ANSALDI Cristian,ANSALDI,#N/A,Torino FC,Serie A,ITA
Argentina,5,MF,BIGLIA Lucas,BIGLIA,#N/A,AC Milan,Serie A,ITA
Argentina,6,DF,FAZIO Federico,FAZIO,TRUE,AS Roma,Serie A,ITA
Argentina,7,MF,BANEGA Ever,BANEGA,TRUE,Sevilla FC,Primera Division,ESP
Argentina,8,DF,ACUNA Marcos,ACUNA,#N/A,Sporting CP,Primeira Liga,POR
Argentina,9,FW,HIGUAIN Gonzalo,HIGUAIN,#N/A,Juventus FC,Serie A,ITA
Argentina,10,FW,MESSI Lionel,MESSI,TRUE,FC Barcelona,Primera Division,ESP
Argentina,11,MF,Dl MARIA Angel,DI MARIA,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
Argentina,12,GK,ARMANI Franco,ARMANI,TRUE,CA River Plate,Primera Division,ARG
Argentina,13,MF,MEZA Maximiliano,MEZA,TRUE,CA Independiente,Primera Division,ARG
Argentina,14,DF,MASCHERANO Javier,MASCHERANO,TRUE,Hebei China Fortune FC,Super League,CHN
Argentina,15,MF,Enzo PEREZ,PEREZ,TRUE,CA River Plate,Primera Division,ARG
Argentina,16,DF,ROJO Marcos,ROJO,TRUE,Manchester United FC,Premier League,ENG
Argentina,17,DF,OTAMENDI Nicolas,OTAMENDI,TRUE,Manchester City FC,Premier League,ENG
Argentina,18,DF,SALVIO Eduardo,SALVIO,#N/A,SL Benfica,Primeira Liga,POR
Argentina,19,FW,AGUERO Sergio,AGUERO,TRUE,Manchester City FC,Premier League,ENG
Argentina,20,MF,LO CELSO Giovani,LO CELSO,#N/A,Paris Saint-Germain FC,Ligue 1,FRA
Argentina,21,FW,DYBALA Paulo,DYBALA,#N/A,Juventus FC,Serie A,ITA
Argentina,22,MF,PAVON Cristian,PAVON,TRUE,CA Boca Juniors,Primera Division,ARG
Argentina,23,GK,CABALLERO Wilfredo,Willy CABALLERO,#N/A,Chelsea FC,Premier League,ENG
Belgium,1,GK,COURTOIS Thibaut,COURTOIS,TRUE,Chelsea FC,Premier League,ENG
Belgium,2,DF,ALDERWEIRELD Toby,ALDERWEIRELD,TRUE,Tottenham Hotspur FC,Premier League,ENG
Belgium,3,DF,VERMAELEN Thomas,VERMAELEN,#N/A,FC Barcelona,Primera Division,ESP
Belgium,4,DF,KOMPANY Vincent,KOMPANY,TRUE,Manchester City FC,Premier League,ENG
Belgium,5,DF,VERTONGHEN Jan,VERTONGHEN,TRUE,Tottenham Hotspur FC,Premier League,ENG
Belgium,6,MF,WITSEL Axel,WITSEL,TRUE,Tianjin Quanjian FC,Super League,CHN
Belgium,7,MF,DE BRUYNE Kevin,DE BRUYNE,TRUE,Manchester City FC,Premier League,ENG
Belgium,8,MF,FELLAINI Marouane,FELLAINI,TRUE,Manchester United FC,Premier League,ENG
Belgium,9,FW,LUKAKU Romelu,R. LUKAKU,TRUE,Manchester United FC,Premier League,ENG
Belgium,10,FW,HAZARD Eden,E. HAZARD,TRUE,Chelsea FC,Premier League,ENG
Belgium,11,MF,CARRASCO Yannick,CARRASCO,TRUE,Dalian Yifang FC,Super League,CHN
Belgium,12,GK,MIGNOLET Simon,MIGNOLET,#N/A,Liverpool FC,Premier League,ENG
Belgium,13,GK,CASTEELS Koen,CASTEELS,#N/A,VfL Wolfsburg,Bundesliga,GER
Belgium,14,FW,MERTENS Dries,MERTENS,TRUE,SSC Napoli,Serie A,ITA
Belgium,15,DF,MEUNIER Thomas,MEUNIER,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
Japan,15,FW,OSAKO Yuya,OSAKO,TRUE,1. FC Koln,Bundesliga,GER
Belgium,17,MF,TIELEMANS Youri,TIELEMANS,#N/A,AS Monaco,Ligue 1,FRA
Belgium,18,FW,JANUZAJ Adnan,JANUZAJ,#N/A,Real Sociedad,Primera Division,ESP
Belgium,19,MF,DEMBELE Moussa,DEMBELÉ,#N/A,Tottenham Hotspur FC,Premier League,ENG
Belgium,20,DF,BOYATA Dedryck,BOYATA,#N/A,Celtic FC,Premier League,SCO
Belgium,23,DF,DENDONCKERLeander,DENDONCKER,#N/A,RSC Anderlecht,First Division A,BEL
Belgium,22,MF,CHADLI Nacer,CHADLI,TRUE,West Bromwich Albion FC,Premier League,ENG
Belgium,21,FW,BATSHUAYI Michy,BATSHUAYI,#N/A,Borussia Dortmund,Bundesliga,GER
Brazil,1,GK,ALISSON,ALISSON,TRUE,AS Roma,Serie A,ITA
Brazil,2,DF,THIAGO SILVA,THIAGO SILVA,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
Brazil,3,DF,MIRANDA,MIRANDA,TRUE,FC Internazionale,Serie A,ITA
Belgium,16,MF,FIAZARD Thorgan,T. HAZARD,#N/A,VfL Borussia Monchengladbach,Bundesliga,GER
Brazil,5,MF,CASE Ml RO,CASEMIRO,TRUE,Real Madrid CF,Primera Division,ESP
Brazil,6,DF,FILIPE LUIS,FILIPE LUIS,TRUE,Atletico Madrid,Primera Division,ESP
Brazil,4,DF,PEDRO GEROMEL,GEROMEL,#N/A,Gremio FBPA,Serie A,BRA
Brazil,7,FW,DOUGLAS COSTA,Douglas COSTA,#N/A,Juventus FC,Serie A,ITA
Brazil,9,FW,GABRIEL JESUS,Gabriel JESUS,TRUE,Manchester City FC,Premier League,ENG
Brazil,10,FW,NEYMAR,NEYMAR,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
Brazil,11,MF,PHILIPPE COUTINHO,COUTINHO,TRUE,FC Barcelona,Primera Division,ESP
Brazil,8,MF,RENATO AUGUSTO,Renato AUGUSTO,#N/A,Beijing Guoan,Super League,CHN
Brazil,13,DF,MARQUINHOS,MARQUINHOS,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
Brazil,12,DF,MARCELO,MARCELO,#N/A,Real Madrid CF,Primera Division,ESP
Brazil,15,MF,PAULINHO,PAULINHO,TRUE,FC Barcelona,Primera Division,ESP
Brazil,14,DF,DANILO,DANILO,#N/A,Manchester City FC,Premier League,ENG
Brazil,17,MF,FERNANDINHO,FERNANDINHO,TRUE,Manchester City FC,Premier League,ENG
Brazil,16,GK,CASSIO,CASSIO,#N/A,SC Corinthians,Serie A,BRA
Brazil,19,MF,WILLIAN,WILLIAN,TRUE,Chelsea FC,Premier League,ENG
Brazil,20,FW,ROBERTO FIRMINO,ROBERTO FIRMINO,TRUE,Liverpool FC,Premier League,ENG
Brazil,18,MF,FRED,FRED,#N/A,FC Shakhtar Donetsk,Premier League,UKR
Brazil,22,DF,FAGNER,FAGNER,TRUE,SC Corinthians,Serie A,BRA
Brazil,21,FW,TAISON,TAISON,#N/A,FC Shakhtar Donetsk,Premier League,UKR
Colombia,1,GK,OSPINA David,OSPINA,TRUE,Arsenal FC,Premier League,ENG
Brazil,23,GK,EDERSON,EDERSON,#N/A,Manchester City FC,Premier League,ENG
Colombia,2,DF,ZAPATA Cristian,ZAPATA,TRUE,AC Milan,Serie A,ITA
Colombia,4,DF,ARIAS Santiago,ARIAS,TRUE,PSV Eindhoven,Eredivisie,NED
Colombia,5,MF,BARRIOS Wilmar,BARRIOS,TRUE,CA Boca Juniors,Primera Division,ARG
Colombia,6,MF,SANCHEZ Carlos,C. SANCHEZ,TRUE,RCD Espanyol,Primera Division,ESP
Colombia,7,FW,BACCA Carlos,BACCA,TRUE,Villarreal CF,Primera Division,ESP
Colombia,3,DF,MURILLO Oscar,O. MURILLO,#N/A,CF Pachuca,Primera Division,MEX
Colombia,9,FW,FALCAO Radamel,FALCAO,TRUE,AS Monaco,Ligue 1,FRA
Colombia,11,MF,CUADRADO Juan,Ju. CUADRADO,TRUE,Juventus FC,Serie A,ITA
Colombia,8,MF,AGUILAR Abel,AGUILAR,#N/A,AC Deportivo Cali,Categoría Primera A,COL
Colombia,13,DF,MINA Yerry,Yerry MINA,TRUE,FC Barcelona,Primera Division,ESP
Colombia,14,FW,MURIEL Luis,MURIEL,TRUE,Sevilla FC,Primera Division,ESP
Colombia,15,MF,URIBE Mateus,URIBE,TRUE,Club America,Primera Division,MEX
Colombia,16,MF,LERMA Jefferson,Jefferson LERMA,TRUE,Levante UD,Primera Division,ESP
Colombia,17,DF,MOJICA Johan,MOJICA,TRUE,Girona FC,Primera Division,ESP
Colombia,12,GK,VARGAS Camilo,C. VARGAS,#N/A,AC Deportivo Cali,Categoría Primera A,COL
Colombia,18,DF,Farid Diaz,F. Diaz,#N/A,Club Olimpia,Primera Division,PAR
Colombia,20,MF,QUINTERO Juan,QUINTERO,TRUE,CA River Plate,Primera Division,ARG
Colombia,19,FW,BORJA Miguel,M. BORJA,#N/A,SE Palmeiras,Serie A,BRA
Colombia,21,FW,IZQUIERDO Jose,IZQUIERDO,#N/A,Brighton & Hove Albion FC,Premier League,ENG
Colombia,23,DF,SANCHEZ Davinson,D. SANCHEZ,TRUE,Tottenham Hotspur FC,Premier League,ENG
Colombia,22,GK,CUADRADO Jose,CUADRADO,#N/A,CD Once Caldas,Categoría Primera A,COL
Croatia,2,DF,VRSAUKO Sime,VRSALJKO,TRUE,Atletico Madrid,Primera Division,ESP
